--
-- Gathered from https://www.scoreboard.com/en/mls-2018/results/
-- ';' separated
-- [DATE, DD.MM.YYYY];[HOMEID];[AWAYID];[HOMESCORE] : [AWAYSCORE]
--
28.10.2018;821e5563-bb3c-4a5e-8d56-79e25efb49cd;34e2f043-ca34-4743-847b-17f2000c8e16;0 : 0
28.10.2018;85f9cdc1-0d91-41bf-b37b-7d91c98c7e34;028c0edc-b63e-4f72-8e4b-34d1a78e3671;2 : 1
28.10.2018;f2a09e6a-0cfd-48b4-bc0d-f98c614809fd;b1ab1613-d652-403f-8c7f-8ca7dfd37804;3 : 2
28.10.2018;c5a068cc-70cb-420d-ae6c-da7d8d6f96c7;ee42400a-6bdf-4b68-ac30-437f50368b7e;2 : 3
28.10.2018;853ce6e8-987e-4cf0-846a-def18d96913a;93eba939-30e6-4702-b854-87051111edbd;1 : 0
28.10.2018;431c60bd-c4ae-4253-b554-58af9cf46dd3;2313ec02-1e1d-4fd1-8278-57ed5bc64370;3 : 1
28.10.2018;9df3a517-2754-438b-bfe3-9d081aefa350;fd36043a-ce04-46e7-99ae-63406444834b;1 : 0
28.10.2018;aa050628-4f65-4997-abef-e3fd6b80d07e;07979bc9-ac85-47f7-9d98-d5275039d627;2 : 1
28.10.2018;24f4602c-2a47-4bb3-9a5d-a801f61aeb05;f0b354a2-f8db-4b52-a180-f23816cbd6ac;2 : 1
28.10.2018;55f7f5fd-29d2-4a76-b497-5ca4baef5fa1;dcf07e65-0570-4bbf-9eb4-743d1cd52e36;4 : 1
28.10.2018;ce6a772c-9a31-4b10-81b1-f59ec6346b31;f021bbaf-ea80-468a-8cd0-b3674327dee5;2 : 1
21.10.2018;028c0edc-b63e-4f72-8e4b-34d1a78e3671;24f4602c-2a47-4bb3-9a5d-a801f61aeb05;0 : 3
21.10.2018;ee42400a-6bdf-4b68-ac30-437f50368b7e;aa050628-4f65-4997-abef-e3fd6b80d07e;2 : 3
21.10.2018;f0b354a2-f8db-4b52-a180-f23816cbd6ac;ce6a772c-9a31-4b10-81b1-f59ec6346b31;2 : 2
21.10.2018;b1ab1613-d652-403f-8c7f-8ca7dfd37804;c5a068cc-70cb-420d-ae6c-da7d8d6f96c7;1 : 3
21.10.2018;f021bbaf-ea80-468a-8cd0-b3674327dee5;52f41053-5060-4535-9aca-03c0a6a41a82;3 : 0
21.10.2018;07979bc9-ac85-47f7-9d98-d5275039d627;85f9cdc1-0d91-41bf-b37b-7d91c98c7e34;0 : 0
21.10.2018;dcf07e65-0570-4bbf-9eb4-743d1cd52e36;821e5563-bb3c-4a5e-8d56-79e25efb49cd;2 : 1
21.10.2018;34e2f043-ca34-4743-847b-17f2000c8e16;431c60bd-c4ae-4253-b554-58af9cf46dd3;3 : 1
21.10.2018;93eba939-30e6-4702-b854-87051111edbd;55f7f5fd-29d2-4a76-b497-5ca4baef5fa1;2 : 0
21.10.2018;fd36043a-ce04-46e7-99ae-63406444834b;f2a09e6a-0cfd-48b4-bc0d-f98c614809fd;2 : 1
21.10.2018;2313ec02-1e1d-4fd1-8278-57ed5bc64370;9df3a517-2754-438b-bfe3-9d081aefa350;0 : 1
18.10.2018;52f41053-5060-4535-9aca-03c0a6a41a82;853ce6e8-987e-4cf0-846a-def18d96913a;4 : 1
17.10.2018;ce6a772c-9a31-4b10-81b1-f59ec6346b31;24f4602c-2a47-4bb3-9a5d-a801f61aeb05;1 : 4
17.10.2018;34e2f043-ca34-4743-847b-17f2000c8e16;55f7f5fd-29d2-4a76-b497-5ca4baef5fa1;1 : 0
17.10.2018;fd36043a-ce04-46e7-99ae-63406444834b;aa050628-4f65-4997-abef-e3fd6b80d07e;1 : 2
13.10.2018;853ce6e8-987e-4cf0-846a-def18d96913a;fd36043a-ce04-46e7-99ae-63406444834b;2 : 0
13.10.2018;34e2f043-ca34-4743-847b-17f2000c8e16;028c0edc-b63e-4f72-8e4b-34d1a78e3671;1 : 0
13.10.2018;b1ab1613-d652-403f-8c7f-8ca7dfd37804;85f9cdc1-0d91-41bf-b37b-7d91c98c7e34;0 : 2
12.10.2018;f0b354a2-f8db-4b52-a180-f23816cbd6ac;ee42400a-6bdf-4b68-ac30-437f50368b7e;4 : 2
08.10.2018;aa050628-4f65-4997-abef-e3fd6b80d07e;ee42400a-6bdf-4b68-ac30-437f50368b7e;4 : 1
07.10.2018;34e2f043-ca34-4743-847b-17f2000c8e16;821e5563-bb3c-4a5e-8d56-79e25efb49cd;2 : 1
06.10.2018;07979bc9-ac85-47f7-9d98-d5275039d627;9df3a517-2754-438b-bfe3-9d081aefa350;1 : 3
06.10.2018;52f41053-5060-4535-9aca-03c0a6a41a82;f021bbaf-ea80-468a-8cd0-b3674327dee5;1 : 4
06.10.2018;85f9cdc1-0d91-41bf-b37b-7d91c98c7e34;f0b354a2-f8db-4b52-a180-f23816cbd6ac;0 : 3
06.10.2018;24f4602c-2a47-4bb3-9a5d-a801f61aeb05;c5a068cc-70cb-420d-ae6c-da7d8d6f96c7;1 : 1
06.10.2018;028c0edc-b63e-4f72-8e4b-34d1a78e3671;fd36043a-ce04-46e7-99ae-63406444834b;2 : 0
06.10.2018;2313ec02-1e1d-4fd1-8278-57ed5bc64370;b1ab1613-d652-403f-8c7f-8ca7dfd37804;5 : 1
06.10.2018;55f7f5fd-29d2-4a76-b497-5ca4baef5fa1;ce6a772c-9a31-4b10-81b1-f59ec6346b31;1 : 2
06.10.2018;dcf07e65-0570-4bbf-9eb4-743d1cd52e36;853ce6e8-987e-4cf0-846a-def18d96913a;2 : 1
06.10.2018;93eba939-30e6-4702-b854-87051111edbd;f2a09e6a-0cfd-48b4-bc0d-f98c614809fd;3 : 0
30.09.2018;24f4602c-2a47-4bb3-9a5d-a801f61aeb05;52f41053-5060-4535-9aca-03c0a6a41a82;1 : 1
30.09.2018;9df3a517-2754-438b-bfe3-9d081aefa350;dcf07e65-0570-4bbf-9eb4-743d1cd52e36;2 : 0
29.09.2018;f021bbaf-ea80-468a-8cd0-b3674327dee5;028c0edc-b63e-4f72-8e4b-34d1a78e3671;0 : 0
29.09.2018;c5a068cc-70cb-420d-ae6c-da7d8d6f96c7;ce6a772c-9a31-4b10-81b1-f59ec6346b31;3 : 0
