--
-- Gathered from https://www.scoreboard.com/en/mls/results/
-- ';' separated
-- [DATE, DD.MM.YYYY];[HOMEID];[AWAYID];[HOMESCORE] : [AWAYSCORE]
--
-- 06.10.2019;dcf07e65-0570-4bbf-9eb4-743d1cd52e36;853ce6e8-987e-4cf0-846a-def18d96913a;3 : 1
-- 06.10.2019;34e2f043-ca34-4743-847b-17f2000c8e16;4de09cc0-c8b5-4651-a73a-68e05ffacc22;0 : 0
-- 06.10.2019;028c0edc-b63e-4f72-8e4b-34d1a78e3671;24f4602c-2a47-4bb3-9a5d-a801f61aeb05;6 : 0
-- 06.10.2019;ee42400a-6bdf-4b68-ac30-437f50368b7e;c5a068cc-70cb-420d-ae6c-da7d8d6f96c7;4 : 2
-- 06.10.2019;f0b354a2-f8db-4b52-a180-f23816cbd6ac;85f9cdc1-0d91-41bf-b37b-7d91c98c7e34;3 : 1
-- 06.10.2019;93eba939-30e6-4702-b854-87051111edbd;9df3a517-2754-438b-bfe3-9d081aefa350;3 : 0
-- 06.10.2019;fd36043a-ce04-46e7-99ae-63406444834b;821e5563-bb3c-4a5e-8d56-79e25efb49cd;2 : 5
-- 06.10.2019;2313ec02-1e1d-4fd1-8278-57ed5bc64370;431c60bd-c4ae-4253-b554-58af9cf46dd3;1 : 2
-- 06.10.2019;f021bbaf-ea80-468a-8cd0-b3674327dee5;07979bc9-ac85-47f7-9d98-d5275039d627;3 : 1
-- 06.10.2019;aa050628-4f65-4997-abef-e3fd6b80d07e;b1ab1613-d652-403f-8c7f-8ca7dfd37804;1 : 0
-- 06.10.2019;55f7f5fd-29d2-4a76-b497-5ca4baef5fa1;f2a09e6a-0cfd-48b4-bc0d-f98c614809fd;1 : 0
-- 06.10.2019;ce6a772c-9a31-4b10-81b1-f59ec6346b31;52f41053-5060-4535-9aca-03c0a6a41a82;0 : 1
-- 29.09.2019;85f9cdc1-0d91-41bf-b37b-7d91c98c7e34;028c0edc-b63e-4f72-8e4b-34d1a78e3671;3 : 0
-- 29.09.2019;c5a068cc-70cb-420d-ae6c-da7d8d6f96c7;ce6a772c-9a31-4b10-81b1-f59ec6346b31;3 : 4
-- 29.09.2019;b1ab1613-d652-403f-8c7f-8ca7dfd37804;f0b354a2-f8db-4b52-a180-f23816cbd6ac;1 : 1
-- 29.09.2019;52f41053-5060-4535-9aca-03c0a6a41a82;ee42400a-6bdf-4b68-ac30-437f50368b7e;2 : 1
-- 29.09.2019;07979bc9-ac85-47f7-9d98-d5275039d627;aa050628-4f65-4997-abef-e3fd6b80d07e;0 : 1
